epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5499,2.48352,4.30914,1.82495,0.64781,0.07398,0.06338,0.03204,1.8121,6.29032,1.39488,7.272e-05,7.272e-05,7.272e-05
2,188.177,1.98564,2.25914,1.38649,0.47738,0.34495,0.26501,0.13906,1.66962,2.9563,1.20405,0.000153765,0.000153765,0.000153765
3,279.542,1.84586,1.88974,1.29901,0.70581,0.35062,0.40307,0.2274,1.56395,2.10904,1.20308,0.000234,0.000234,0.000234
4,371.448,1.71714,1.59406,1.23136,0.62257,0.48425,0.45949,0.2497,1.61628,1.9313,1.18668,0.000313425,0.000313425,0.000313425
5,954.784,1.61877,1.40854,1.17664,0.5405,0.53687,0.5377,0.28734,1.61138,1.90424,1.21345,0.000392041,0.000392041,0.000392041
6,1046.49,1.62327,1.3664,1.20229,0.4759,0.56854,0.56359,0.31547,1.51883,1.66445,1.14377,0.000469846,0.000469846,0.000469846
7,1137.69,1.62879,1.29598,1.16371,0.41914,0.57494,0.52552,0.29531,1.64966,1.57281,1.22243,0.000546842,0.000546842,0.000546842
8,1241.25,1.54891,1.20726,1.14615,0.56222,0.54821,0.5636,0.30814,1.58325,1.51014,1.2164,0.000623027,0.000623027,0.000623027
9,1340.75,1.53928,1.16126,1.15913,0.58652,0.53491,0.54424,0.3391,1.5306,1.51031,1.17929,0.000698403,0.000698403,0.000698403
10,1427.72,1.47755,1.14204,1.11232,0.55131,0.50168,0.53416,0.32879,1.48818,1.53433,1.1344,0.000772969,0.000772969,0.000772969
11,1513.48,1.47601,1.09745,1.11888,0.50931,0.57967,0.53754,0.34136,1.42911,1.24159,1.10836,0.000846724,0.000846724,0.000846724
12,1599.63,1.43801,1.06915,1.09715,0.6204,0.422,0.50861,0.29655,1.51224,1.52578,1.1531,0.000859505,0.000859505,0.000859505
13,1686.37,1.44693,1.04525,1.09372,0.7028,0.46605,0.54869,0.32263,1.53351,1.26927,1.17085,0.000855005,0.000855005,0.000855005
14,1773.12,1.49972,1.01817,1.1315,0.70168,0.53021,0.58228,0.34221,1.47011,1.21605,1.16809,0.000850506,0.000850506,0.000850506
15,1859.41,1.49506,0.98954,1.1287,0.60675,0.54102,0.54287,0.32162,1.48598,1.31258,1.17093,0.000846006,0.000846006,0.000846006
16,1945.93,1.47904,0.99889,1.11158,0.56507,0.55655,0.59852,0.37914,1.48779,1.28612,1.14991,0.000841507,0.000841507,0.000841507
17,2032.96,1.38315,0.94465,1.07093,0.52949,0.55521,0.55347,0.32501,1.56133,1.34892,1.18505,0.000837007,0.000837007,0.000837007
18,2119.17,1.42898,0.9589,1.0947,0.56183,0.51387,0.50929,0.28595,1.64107,1.29215,1.21642,0.000832508,0.000832508,0.000832508
19,2205.31,1.36824,0.89443,1.07014,0.58186,0.58536,0.54942,0.31881,1.55486,1.12132,1.20055,0.000828008,0.000828008,0.000828008
20,2291.65,1.38868,0.9246,1.08451,0.64663,0.53627,0.5894,0.32574,1.53362,1.11663,1.16855,0.000823509,0.000823509,0.000823509
21,2378.3,1.35784,0.88626,1.05807,0.65702,0.54414,0.62542,0.36233,1.50952,1.2136,1.17363,0.000819009,0.000819009,0.000819009
22,2465.19,1.39661,0.88192,1.06544,0.62838,0.61027,0.63122,0.35222,1.52228,1.25873,1.15125,0.000814509,0.000814509,0.000814509
23,2552.22,1.31396,0.86244,1.06505,0.64243,0.60389,0.64541,0.34701,1.63141,1.17846,1.22698,0.00081001,0.00081001,0.00081001
24,2638.38,1.27289,0.82172,1.05139,0.68649,0.58915,0.62479,0.33595,1.54003,1.09602,1.22189,0.00080551,0.00080551,0.00080551
25,2724.6,1.27854,0.83667,1.0452,0.71181,0.60083,0.67934,0.38274,1.49708,1.09321,1.18903,0.000801011,0.000801011,0.000801011
26,2811.52,1.31068,0.82948,1.03702,0.64212,0.56882,0.64,0.36171,1.52439,1.09248,1.20917,0.000796511,0.000796511,0.000796511
27,2897.95,1.26786,0.81668,1.03453,0.71601,0.543,0.63953,0.35565,1.49775,1.04614,1.17965,0.000792012,0.000792012,0.000792012
28,2985.05,1.26142,0.80933,1.03749,0.60229,0.55353,0.61035,0.36599,1.51956,1.117,1.18582,0.000787512,0.000787512,0.000787512
29,3071.74,1.26768,0.82532,1.01863,0.6753,0.62169,0.65586,0.38234,1.51016,1.02708,1.18644,0.000783013,0.000783013,0.000783013
30,3158.26,1.2736,0.80005,1.02434,0.71014,0.59649,0.68081,0.3974,1.51421,1.00384,1.17549,0.000778513,0.000778513,0.000778513
31,3245.14,1.25914,0.84747,1.03157,0.78144,0.61155,0.69728,0.41103,1.41342,0.96975,1.13863,0.000774013,0.000774013,0.000774013
32,3331.98,1.18614,0.73951,1.01376,0.56764,0.68407,0.64716,0.39339,1.4829,0.94524,1.18016,0.000769514,0.000769514,0.000769514
33,3418.32,1.21467,0.75426,0.99497,0.66161,0.55381,0.61652,0.37358,1.47618,1.02865,1.15328,0.000765014,0.000765014,0.000765014
34,3505.53,1.21752,0.75715,0.9991,0.75463,0.51902,0.63897,0.38252,1.50706,1.04163,1.15792,0.000760515,0.000760515,0.000760515
35,3591.81,1.19777,0.75937,1.00041,0.62172,0.55629,0.64638,0.37298,1.67014,1.10974,1.26403,0.000756015,0.000756015,0.000756015
36,3678.67,1.20765,0.7474,1.00743,0.61109,0.63318,0.66575,0.39238,1.56368,1.02858,1.202,0.000751516,0.000751516,0.000751516
37,3765.08,1.15492,0.72804,0.98435,0.5931,0.61408,0.62274,0.37536,1.53851,1.05124,1.17565,0.000747016,0.000747016,0.000747016
38,3851.81,1.17389,0.70588,0.99565,0.78328,0.53041,0.64923,0.38315,1.55641,1.06026,1.19108,0.000742517,0.000742517,0.000742517
39,3937.81,1.14135,0.71306,1.00038,0.76032,0.59066,0.65414,0.39366,1.54461,1.05225,1.21863,0.000738017,0.000738017,0.000738017
40,4024.53,1.11492,0.68402,0.9718,0.70371,0.61701,0.64572,0.366,1.53396,1.02028,1.20334,0.000733518,0.000733518,0.000733518
41,4111.23,1.12717,0.70096,0.97781,0.67413,0.55989,0.64116,0.38404,1.49275,1.08593,1.19478,0.000729018,0.000729018,0.000729018
42,4198.25,1.14895,0.7039,0.98028,0.6828,0.57053,0.64361,0.36782,1.5384,1.12716,1.1942,0.000724518,0.000724518,0.000724518
43,4284.51,1.11277,0.69347,0.96458,0.70797,0.60515,0.64902,0.38374,1.52683,1.11852,1.17473,0.000720019,0.000720019,0.000720019
44,4371.61,1.13673,0.69012,0.98419,0.68285,0.59133,0.65872,0.39628,1.4883,0.98629,1.16266,0.000715519,0.000715519,0.000715519
45,4458.71,1.10387,0.6699,0.95748,0.64099,0.59701,0.64678,0.37681,1.55176,0.98731,1.19226,0.00071102,0.00071102,0.00071102
46,4545.31,1.09164,0.66005,0.96517,0.71727,0.57897,0.68382,0.4052,1.5623,1.01024,1.17681,0.00070652,0.00070652,0.00070652
47,4631.87,1.08181,0.65431,0.98085,0.7533,0.55822,0.65377,0.36766,1.53012,1.07498,1.17621,0.000702021,0.000702021,0.000702021
48,4718.84,1.1255,0.67297,0.97511,0.81232,0.56077,0.67891,0.38851,1.46297,1.1297,1.11919,0.000697521,0.000697521,0.000697521
49,4805.78,1.07745,0.65574,0.9687,0.85028,0.55746,0.6974,0.385,1.48547,1.13688,1.14862,0.000693022,0.000693022,0.000693022
50,4892.06,1.06519,0.6435,0.97119,0.81578,0.56989,0.70293,0.38754,1.48892,1.02484,1.15918,0.000688522,0.000688522,0.000688522
51,4978.98,1.04902,0.63069,0.93942,0.79434,0.62493,0.70201,0.40553,1.44475,0.99029,1.1399,0.000684022,0.000684022,0.000684022
52,5065.45,1.07042,0.65192,0.95741,0.6601,0.66165,0.67717,0.39916,1.50355,1.00134,1.15298,0.000679523,0.000679523,0.000679523
53,5152.47,1.07178,0.64992,0.95253,0.66631,0.64025,0.67422,0.39976,1.50531,1.05921,1.16516,0.000675023,0.000675023,0.000675023
54,5238.82,1.01656,0.61221,0.93429,0.71099,0.58804,0.68405,0.3977,1.51784,1.10148,1.18414,0.000670524,0.000670524,0.000670524
55,5326.16,0.99642,0.61579,0.93737,0.67785,0.59782,0.67262,0.40432,1.47406,1.06357,1.17269,0.000666024,0.000666024,0.000666024
56,5412.69,1.03381,0.61167,0.95128,0.57434,0.70678,0.66989,0.39651,1.46077,1.01962,1.17252,0.000661525,0.000661525,0.000661525
57,5499.43,1.04094,0.62221,0.95297,0.6494,0.69713,0.70104,0.41173,1.45505,1.04232,1.18302,0.000657025,0.000657025,0.000657025
58,5588.35,1.02262,0.60289,0.93591,0.71631,0.6346,0.72002,0.43926,1.41683,0.97037,1.14935,0.000652526,0.000652526,0.000652526
59,5679.35,1.01295,0.60542,0.93769,0.63133,0.65199,0.70412,0.39914,1.40755,0.93363,1.16532,0.000648026,0.000648026,0.000648026
60,5770.27,0.99699,0.60256,0.93292,0.61044,0.65948,0.68815,0.42023,1.42962,0.96013,1.17165,0.000643527,0.000643527,0.000643527
61,5859.28,1.00933,0.60639,0.92882,0.60658,0.64821,0.66419,0.41943,1.35849,0.93969,1.15529,0.000639027,0.000639027,0.000639027
62,5948.91,1.00708,0.60308,0.93759,0.66716,0.65133,0.67196,0.40816,1.39378,0.95126,1.15453,0.000634527,0.000634527,0.000634527
63,6038.01,1.01924,0.60271,0.9387,0.54815,0.68454,0.65722,0.42177,1.44967,0.94779,1.18316,0.000630028,0.000630028,0.000630028
64,6124.72,0.99764,0.59438,0.9275,0.71429,0.61513,0.68628,0.3948,1.45424,0.93072,1.18717,0.000625528,0.000625528,0.000625528
65,6212.27,0.98078,0.58653,0.92449,0.55726,0.6722,0.69569,0.40155,1.44515,0.94403,1.16494,0.000621029,0.000621029,0.000621029
66,6298.75,1.00273,0.61145,0.93333,0.5536,0.62976,0.68918,0.38248,1.5035,0.94704,1.1804,0.000616529,0.000616529,0.000616529
67,6385.22,0.96861,0.57486,0.91934,0.55426,0.66188,0.67866,0.36757,1.54384,0.94894,1.21084,0.00061203,0.00061203,0.00061203
68,6472.01,0.95526,0.57723,0.92633,0.60671,0.66505,0.71146,0.40835,1.51173,0.90989,1.21414,0.00060753,0.00060753,0.00060753
69,6558.83,0.97084,0.56462,0.92388,0.57877,0.6783,0.7193,0.41343,1.5258,0.92648,1.21048,0.000603031,0.000603031,0.000603031
70,6645.47,0.95866,0.57169,0.91815,0.7436,0.63037,0.68297,0.38168,1.51987,0.96567,1.19279,0.000598531,0.000598531,0.000598531
71,6732.43,0.94317,0.56138,0.91967,0.8164,0.54777,0.66799,0.37452,1.52334,0.92069,1.18938,0.000594031,0.000594031,0.000594031
72,6819.37,0.93748,0.5677,0.92073,0.7462,0.61021,0.69147,0.39708,1.51599,1.00208,1.19586,0.000589532,0.000589532,0.000589532
73,6906.33,0.94222,0.56452,0.91206,0.80278,0.58084,0.72222,0.41355,1.5148,0.97261,1.18789,0.000585032,0.000585032,0.000585032
74,6993.47,0.95417,0.56247,0.91821,0.66085,0.68423,0.74033,0.43425,1.46347,0.98099,1.1805,0.000580533,0.000580533,0.000580533
75,7080.04,0.95233,0.56562,0.91983,0.74887,0.66041,0.73735,0.44655,1.43512,0.94845,1.16944,0.000576033,0.000576033,0.000576033
76,7166.99,0.94902,0.55324,0.91252,0.69187,0.66153,0.71166,0.40012,1.4443,0.9914,1.17678,0.000571534,0.000571534,0.000571534
77,7253.93,0.92881,0.55194,0.91922,0.76639,0.64443,0.73099,0.43729,1.43529,1.12766,1.16607,0.000567034,0.000567034,0.000567034
78,7340.23,0.93631,0.54823,0.90972,0.77559,0.66921,0.74139,0.43815,1.43053,1.17864,1.1641,0.000562535,0.000562535,0.000562535
79,7426.99,0.96966,0.55598,0.92637,0.77264,0.64696,0.74648,0.42241,1.43761,1.12987,1.16683,0.000558035,0.000558035,0.000558035
80,7514.18,0.91249,0.52802,0.8977,0.71633,0.68575,0.73369,0.42348,1.43889,1.13993,1.17592,0.000553536,0.000553536,0.000553536
81,7601.3,0.89421,0.52824,0.90038,0.68486,0.64432,0.71209,0.41257,1.45903,1.06553,1.18491,0.000549036,0.000549036,0.000549036
82,7688.56,0.87547,0.51868,0.90366,0.67209,0.67934,0.69736,0.38974,1.49245,0.9864,1.19477,0.000544536,0.000544536,0.000544536
83,7775.21,0.92419,0.5397,0.91416,0.68383,0.67171,0.7174,0.44321,1.43861,0.99105,1.17656,0.000540037,0.000540037,0.000540037
84,7861.91,0.90857,0.53269,0.89828,0.65481,0.65051,0.72319,0.43838,1.41384,0.95994,1.1564,0.000535537,0.000535537,0.000535537
