epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4515,1.55024,1.06793,1.29217,0.77631,0.59259,0.69592,0.38945,1.44871,0.74852,1.21614,8.181e-05,8.181e-05,8.181e-05
2,93.6908,1.65284,0.88052,1.2773,0.58851,0.61866,0.68857,0.39214,1.42439,0.81014,1.1812,0.000171855,0.000171855,0.000171855
3,137.473,1.44525,0.8574,1.1309,0.61042,0.63109,0.68279,0.41325,1.38868,0.83282,1.1268,0.000261,0.000261,0.000261
4,181.474,1.4513,0.84592,1.12391,0.85802,0.58275,0.6723,0.41187,1.37206,0.81218,1.09318,0.000349246,0.000349246,0.000349246
5,225.043,1.41646,0.90231,1.12438,0.75087,0.68999,0.68457,0.43377,1.37271,0.81071,1.0851,0.000436591,0.000436591,0.000436591
6,269.462,1.40514,0.84895,1.08796,0.8356,0.69527,0.75764,0.46085,1.40629,0.78384,1.09284,0.000523036,0.000523036,0.000523036
7,313.197,1.32245,0.7665,1.07028,0.90268,0.68472,0.76354,0.45204,1.41389,0.7727,1.09056,0.000608582,0.000608582,0.000608582
8,356.786,1.32801,0.77114,1.08607,0.8574,0.67627,0.76624,0.47495,1.40304,0.7598,1.1054,0.000693227,0.000693227,0.000693227
9,400.735,1.27534,0.74789,1.07215,0.90537,0.61529,0.73369,0.45487,1.41526,0.73876,1.12356,0.000776973,0.000776973,0.000776973
10,446.121,1.2271,0.75771,1.03944,0.90803,0.58759,0.72774,0.4376,1.3989,0.77968,1.12857,0.000859819,0.000859819,0.000859819
11,492.388,1.27184,0.7258,1.03915,0.65582,0.64198,0.74012,0.44139,1.42087,0.79348,1.14218,0.000864004,0.000864004,0.000864004
12,537.974,1.22628,0.70099,1.05522,0.57722,0.68638,0.70424,0.42441,1.40891,0.82936,1.14376,0.000859505,0.000859505,0.000859505
13,583.708,1.18875,0.79406,1.01183,0.5891,0.65206,0.69166,0.43645,1.36704,0.77177,1.12587,0.000855005,0.000855005,0.000855005
14,629.156,1.2042,0.752,1.00659,0.59606,0.61944,0.71536,0.44467,1.34859,0.77524,1.12207,0.000850506,0.000850506,0.000850506
15,674.729,1.16882,0.70451,1.00703,0.76916,0.60235,0.72084,0.43285,1.33651,0.76895,1.12331,0.000846006,0.000846006,0.000846006
16,720.526,1.17596,0.67112,0.99866,0.65429,0.67599,0.758,0.42696,1.41935,0.7565,1.1387,0.000841507,0.000841507,0.000841507
17,766.195,1.19427,0.67761,1.00399,0.6641,0.66811,0.717,0.40799,1.41243,0.75169,1.13295,0.000837007,0.000837007,0.000837007
18,810.485,1.17285,0.6764,0.99612,0.84565,0.65671,0.71779,0.42862,1.37149,0.75791,1.12086,0.000832508,0.000832508,0.000832508
19,854.109,1.08745,0.61791,0.96818,0.78541,0.69435,0.69911,0.41185,1.40206,0.77148,1.1381,0.000828008,0.000828008,0.000828008
20,898.272,1.10405,0.63665,0.99484,0.69089,0.76484,0.68981,0.40032,1.45071,0.76349,1.15909,0.000823509,0.000823509,0.000823509
21,942.524,1.10725,0.64519,0.99735,0.56874,0.77686,0.70735,0.43319,1.42374,0.74243,1.15209,0.000819009,0.000819009,0.000819009
22,986.584,1.06663,0.63059,0.99864,0.66259,0.71749,0.72027,0.44294,1.41345,0.74379,1.1307,0.000814509,0.000814509,0.000814509
23,1030.8,1.05361,0.58535,0.96855,0.63263,0.74035,0.76,0.46462,1.41782,0.74192,1.12669,0.00081001,0.00081001,0.00081001
24,1074.99,1.08431,0.61189,0.97627,0.72816,0.72074,0.76391,0.45437,1.4851,0.75279,1.15549,0.00080551,0.00080551,0.00080551
25,1119.63,1.09402,0.62709,0.95979,0.69601,0.75924,0.75234,0.45826,1.46322,0.76665,1.14926,0.000801011,0.000801011,0.000801011
26,1166.54,1.0433,0.61072,0.95939,0.60571,0.74774,0.72969,0.45708,1.42653,0.72038,1.11663,0.000796511,0.000796511,0.000796511
27,1212.41,1.05908,0.60506,0.95515,0.81454,0.68549,0.71425,0.4569,1.41033,0.71621,1.10435,0.000792012,0.000792012,0.000792012
28,1257.73,0.98948,0.58408,0.94791,0.79834,0.68351,0.72003,0.46649,1.39137,0.72457,1.10773,0.000787512,0.000787512,0.000787512
29,1302.37,1.05206,0.60305,0.94572,0.7693,0.62073,0.70621,0.45798,1.38413,0.73107,1.11528,0.000783013,0.000783013,0.000783013
30,1348.88,1.01804,0.57303,0.94419,0.51986,0.76177,0.71747,0.46656,1.40931,0.72386,1.13124,0.000778513,0.000778513,0.000778513
31,1395.01,1.02955,0.5939,0.95135,0.59815,0.75264,0.73173,0.4623,1.43655,0.72431,1.14364,0.000774013,0.000774013,0.000774013
32,1440.98,1.02341,0.62041,0.96164,0.63735,0.76654,0.736,0.47319,1.43238,0.72077,1.15354,0.000769514,0.000769514,0.000769514
33,1484.74,1.01993,0.59009,0.93182,0.58893,0.8244,0.78775,0.50868,1.44978,0.71526,1.16598,0.000765014,0.000765014,0.000765014
34,1528.66,0.9975,0.55935,0.93831,0.82332,0.74533,0.77487,0.4856,1.43763,0.7321,1.15247,0.000760515,0.000760515,0.000760515
35,1571.87,0.96918,0.56804,0.93459,0.68708,0.78986,0.75037,0.46195,1.43262,0.73603,1.14988,0.000756015,0.000756015,0.000756015
36,1614.88,1.01608,0.56448,0.94091,0.71936,0.79502,0.7687,0.47894,1.44229,0.73059,1.15603,0.000751516,0.000751516,0.000751516
37,1658.6,0.97319,0.57334,0.93896,0.61865,0.82502,0.77139,0.4797,1.40547,0.72229,1.15186,0.000747016,0.000747016,0.000747016
38,1702.14,0.96815,0.55573,0.91437,0.67185,0.82359,0.81421,0.52672,1.38757,0.69221,1.15845,0.000742517,0.000742517,0.000742517
39,1745.81,0.94009,0.53326,0.9212,0.69219,0.83019,0.80204,0.51935,1.41034,0.69751,1.16908,0.000738017,0.000738017,0.000738017
40,1789.4,0.94824,0.54832,0.934,0.65616,0.84508,0.81501,0.52319,1.39503,0.68868,1.15649,0.000733518,0.000733518,0.000733518
41,1833.07,0.96886,0.59864,0.91408,0.64672,0.87393,0.80851,0.53169,1.40084,0.68183,1.15656,0.000729018,0.000729018,0.000729018
42,1877.15,0.94366,0.53616,0.92977,0.68896,0.79768,0.80961,0.50772,1.42863,0.69267,1.1563,0.000724518,0.000724518,0.000724518
43,1920.66,0.89764,0.52937,0.91308,0.67112,0.80442,0.80784,0.49103,1.46635,0.70097,1.1709,0.000720019,0.000720019,0.000720019
44,1964.04,0.93118,0.53119,0.91449,0.91023,0.67362,0.806,0.49371,1.43679,0.69385,1.15914,0.000715519,0.000715519,0.000715519
45,2007.64,0.89791,0.54082,0.90683,0.82563,0.70078,0.79265,0.50962,1.40658,0.69151,1.15676,0.00071102,0.00071102,0.00071102
46,2051.37,0.94426,0.53372,0.90881,0.62178,0.7542,0.78711,0.46917,1.44841,0.71684,1.16957,0.00070652,0.00070652,0.00070652
47,2094.47,0.89023,0.5238,0.90483,0.84268,0.66205,0.77494,0.46346,1.43631,0.71196,1.16823,0.000702021,0.000702021,0.000702021
48,2138.12,0.88958,0.5128,0.90055,0.6494,0.75582,0.78649,0.49456,1.3775,0.68602,1.14502,0.000697521,0.000697521,0.000697521
49,2182.08,0.87289,0.50372,0.90797,0.66757,0.72907,0.7817,0.49979,1.36506,0.6875,1.13778,0.000693022,0.000693022,0.000693022
